posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
125,767.5007082,125,529.95,,742.5007082,495.05
126,781.3665847,126,529.95,,756.3665847,495.05
127,795.239015,127,529.95,,770.239015,495.05
128,809.1061253,128,529.95,,784.1061253,495.05
129,822.9759297,129,533.25,,797.9759297,491.75
130,836.8459842,130,533.25,,811.8459842,491.75
131,850.7162544,131,533.25,,825.7162544,491.75
132,864.584347,132,533.25,,839.584347,491.75
133,878.4497389,133,533.25,,853.4497389,491.75
134,892.3237457,134,533.25,,867.3237457,491.75
135,906.1910851,135,533.25,,881.1910851,491.75
136,920.0650071,136,533.25,,895.0650071,491.75
137,933.9322661,137,533.25,,908.9322661,491.75
138,947.8071023,138,533.25,,922.8071023,491.75
139,961.6757503,139,533.25,,936.6757503,491.75
140,975.5373155,140,533.25,,950.5373155,491.75
141,989.2694505,141,533.25,,964.2694505,491.75
142,1003.137204,142,533.25,,978.137204,491.75
143,1016.417832,143,534.7522369,,991.4178324,490.2477631
144,1016.75,144,548.5707475,,991.75,476.4292525
145,1016.75,145,562.4445501,,991.75,462.5554499
146,1016.75,146,576.3169096,,991.75,448.6830904
147,1016.75,147,590.1856064,,991.75,434.8143936
148,1016.75,148,604.0561501,,991.75,420.9438499
149,1016.75,149,617.9329742,,991.75,407.0670258
150,1016.75,150,631.7965025,,991.75,393.2034975
151,1016.75,151,645.6706566,,991.75,379.3293434
152,1016.75,152,659.5355958,,991.75,365.4644042
153,1016.75,153,673.4009832,,991.75,351.5990168
154,1016.75,154,687.2682952,,991.75,337.7317048
155,1016.75,155,701.1423266,,991.75,323.8576734
156,1016.75,156,715.0132423,,991.75,309.9867577
157,1016.75,157,728.8857501,,991.75,296.1142499
158,1016.75,158,742.7593775,,991.75,282.2406225
159,1016.75,159,756.6291773,,991.75,268.3708227
160,1016.75,160,770.4895188,,991.75,254.5104812
161,1016.75,161,784.3579384,,991.75,240.6420616
162,1016.75,162,798.222721,,991.75,226.777279
163,1016.75,163,812.0956713,,991.75,212.9043287
164,1016.75,164,825.9699206,,991.75,199.0300794
165,1016.75,165,839.8399279,,991.75,185.1600721
166,1016.75,166,853.7082595,,991.75,171.2917405
167,1016.75,167,867.5775056,,991.75,157.4224944
168,1016.75,168,881.4405528,,991.75,143.5594472
169,1016.75,169,895.3097926,,991.75,129.6902074
170,1016.75,170,909.1714347,,991.75,115.8285653
171,1016.75,171,923.0430455,,991.75,101.9569545
172,1016.75,172,936.9124144,,991.75,88.08758561
173,1016.75,173,950.7798524,,991.75,74.22014758
174,1016.75,174,964.6535007,,991.75,60.34649932
175,1016.75,175,978.5150103,,991.75,46.48498972
176,1016.75,176,992.3882074,,991.75,32.61179256
177,1016.75,177,1006.2618,,991.75,18.73819977
178,1016.75,178,1020.127427,,991.75,4.872573345
179,1016.75,179,1033.992422,,991.75,-8.992422184
180,1016.75,180,1047.859525,,991.75,-22.85952473
181,1016.75,181,1061.736099,,991.75,-36.73609898
182,1016.75,182,1075.605232,,991.75,-50.60523177
183,1016.75,183,1089.479598,,991.75,-64.47959831
184,1016.75,184,1103.348464,,991.75,-78.34846424
185,1016.75,185,1117.223494,,991.75,-92.22349406
186,1016.75,186,1131.08529,,991.75,-106.0852895
187,1016.75,187,1144.947188,,991.75,-119.9471876
188,1016.75,188,1158.818471,,991.75,-133.8184711
189,1016.75,189,1172.684569,,991.75,-147.6845692
