posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
508,1566.08924,508,33.25,,1541.08924,991.75
509,1574.326911,509,33.25,,1549.326911,991.75
510,1583.179543,510,33.25,,1558.179543,991.75
511,1592.63513,511,33.25,,1567.63513,991.75
512,1602.663214,512,33.25,,1577.663214,991.75
513,1613.317396,513,33.25,,1588.317396,991.75
514,1624.603668,514,33.25,,1599.603668,991.75
515,1636.514136,515,33.25,,1611.514136,991.75
516,1649.019422,516,33.25,,1624.019422,991.75
517,1662.108874,517,33.25,,1637.108874,991.75
518,1675.750646,518,33.25,,1650.750646,991.75
519,1689.623721,519,33.25,,1664.623721,991.75
520,1703.491551,520,33.25,,1678.491551,991.75
521,1717.364478,521,33.25,,1692.364478,991.75
522,1731.239422,522,33.25,,1706.239422,991.75
523,1745.106121,523,33.25,,1720.106121,991.75
524,1758.97703,524,33.25,,1733.97703,991.75
525,1772.848929,525,33.25,,1747.848929,991.75
526,1786.714456,526,33.25,,1761.714456,991.75
527,1800.584363,527,33.25,,1775.584363,991.75
528,1814.453069,528,33.25,,1789.453069,991.75
529,1828.328162,529,33.25,,1803.328162,991.75
530,1842.203446,530,33.25,,1817.203446,991.75
531,1856.077247,531,33.25,,1831.077247,991.75
532,1869.947804,532,33.25,,1844.947804,991.75
533,1883.819345,533,33.25,,1858.819345,991.75
534,1897.687714,534,33.25,,1872.687714,991.75
535,1911.562665,535,33.25,,1886.562665,991.75
536,1925.433891,536,33.25,,1900.433891,991.75
537,1939.310555,537,33.25,,1914.310555,991.75
538,1953.182343,538,33.25,,1928.182343,991.75
539,1967.046935,539,33.25,,1942.046935,991.75
540,1980.922069,540,33.25,,1955.922069,991.75
541,1994.792352,541,33.25,,1969.792352,991.75
542,2008.66491,542,33.25,,1983.66491,991.75
543,2016.726331,543,34.68431581,,1991.726331,990.3156842
544,2016.75,544,48.2080367,,1991.75,976.7919633
545,2016.75,545,62.08068719,,1991.75,962.9193128
546,2016.75,546,75.95202448,,1991.75,949.0479755
547,2016.75,547,89.82497269,,1991.75,935.1750273
548,2016.75,548,103.6960697,,1991.75,921.3039303
549,2016.75,549,117.5697688,,1991.75,907.4302312
550,2016.75,550,131.4391854,,1991.75,893.5608146
551,2016.75,551,145.3042404,,1991.75,879.6957596
552,2016.75,552,159.1751731,,1991.75,865.8248269
553,2016.75,553,173.0455632,,1991.75,851.9544368
554,2016.75,554,186.913183,,1991.75,838.086817
555,2016.75,555,200.7881542,,1991.75,824.2118458
556,2016.75,556,214.6584462,,1991.75,810.3415538
557,2016.75,557,228.5238851,,1991.75,796.4761149
558,2016.75,558,242.4009087,,1991.75,782.5990913
559,2016.75,559,256.2741366,,1991.75,768.7258634
560,2016.75,560,270.1407748,,1991.75,754.8592252
561,2016.75,561,284.0107898,,1991.75,740.9892102
562,2016.75,562,297.8799642,,1991.75,727.1200358
563,2016.75,563,311.7379881,,1991.75,713.2620119
564,2016.75,564,325.6026378,,1991.75,699.3973622
565,2016.75,565,339.4732472,,1991.75,685.5267528
566,2016.75,566,353.3448003,,1991.75,671.6551997
567,2016.75,567,367.2146484,,1991.75,657.7853516
568,2016.75,568,381.0831131,,1991.75,643.9168869
569,2016.75,569,394.9569325,,1991.75,630.0430675
570,2016.75,570,408.8317981,,1991.75,616.1682019
571,2016.75,571,422.69964,,1991.75,602.30036
572,2016.75,572,436.5693286,,1991.75,588.4306714
573,2016.75,573,450.4411317,,1991.75,574.5588683
574,2016.75,574,464.305804,,1991.75,560.694196
575,2016.75,575,478.1717425,,1991.75,546.8282575
576,2016.75,576,492.0400919,,1991.75,532.9599081
577,2016.75,577,505.9034801,,1991.75,519.0965199
578,2016.75,578,519.7723168,,1991.75,505.2276832
579,2016.75,579,533.6338863,,1991.75,491.3661137
580,2016.75,580,547.5094972,,1991.75,477.4905028
581,2016.75,581,561.3804426,,1991.75,463.6195574
582,2016.75,582,575.2554925,,1991.75,449.7445075
583,2016.75,583,589.1218742,,1991.75,435.8781258
584,2016.75,584,602.9939899,,1991.75,422.0060101
585,2016.75,585,616.8590475,,1991.75,408.1409525
586,2016.75,586,630.7338381,,1991.75,394.2661619
587,2016.75,587,644.6054442,,1991.75,380.3945558
588,2016.75,588,658.4777496,,1991.75,366.5222504
589,2016.75,589,672.3500325,,1991.75,352.6499675
590,2016.75,590,686.2224473,,1991.75,338.7775527
591,2016.75,591,700.0936353,,1991.75,324.9063647
592,2016.75,592,713.9631774,,1991.75,311.0368226
593,2016.75,593,727.8325817,,1991.75,297.1674183
594,2016.75,594,741.704734,,1991.75,283.295266
595,2016.75,595,755.5783926,,1991.75,269.4216074
596,2016.75,596,769.4484704,,1991.75,255.5515296
597,2016.75,597,783.3203567,,1991.75,241.6796433
598,2016.75,598,797.1900034,,1991.75,227.8099966
599,2016.75,599,811.0596897,,1991.75,213.9403103
600,2016.75,600,824.9319991,,1991.75,200.0680009
601,2016.75,601,838.8013235,,1991.75,186.1986765
602,2016.75,602,852.6726153,,1991.75,172.3273847
603,2016.75,603,866.5448349,,1991.75,158.4551651
604,2016.75,604,880.413991,,1991.75,144.586009
605,2016.75,605,894.2803109,,1991.75,130.7196891
606,2016.75,606,908.1411308,,1991.75,116.8588692
607,2016.75,607,922.0124733,,1991.75,102.9875267
608,2016.75,608,935.8790211,,1991.75,89.12097888
609,2016.75,609,949.7482348,,1991.75,75.25176522
610,2016.75,610,963.6198787,,1991.75,61.38012127
611,2016.75,611,977.487348,,1991.75,47.51265198
612,2016.75,612,991.3598138,,1991.75,33.64018618
613,2016.75,613,1005.232138,,1991.75,19.76786248
614,2016.75,614,1019.103729,,1991.75,5.896271126
615,2016.75,615,1032.980341,,1991.75,-7.980340612
616,2016.75,616,1046.852818,,1991.75,-21.85281782
617,2016.75,617,1060.722983,,1991.75,-35.7229831
618,2016.75,618,1074.595125,,1991.75,-49.59512541
619,2016.75,619,1088.461752,,1991.75,-63.4617517
620,2016.75,620,1102.335641,,1991.75,-77.33564132
621,2016.75,621,1116.208982,,1991.75,-91.20898157
622,2016.75,622,1130.078738,,1991.75,-105.078738
623,2016.75,623,1143.950417,,1991.75,-118.9504175
624,2016.75,624,1157.820273,,1991.75,-132.8202726
625,2016.75,625,1171.695768,,1991.75,-146.6957682
626,2016.75,626,1185.562278,,1991.75,-160.5622784
627,2016.75,627,1199.433489,,1991.75,-174.433489
628,2016.75,628,1213.304438,,1991.75,-188.3044383
629,2016.75,629,1227.176437,,1991.75,-202.1764365
630,2016.75,630,1241.043967,,1991.75,-216.0439674
631,2016.75,631,1254.911696,,1991.75,-229.9116959
632,2016.75,632,1268.776473,,1991.75,-243.7764729
633,2016.75,633,1282.644198,,1991.75,-257.644198
634,2016.75,634,1296.51003,,1991.75,-271.5100301
635,2016.75,635,1310.375007,,1991.75,-285.3750074
636,2016.75,636,1324.242839,,1991.75,-299.2428395
637,2016.75,637,1338.116583,,1991.75,-313.1165827
638,2016.75,638,1351.989672,,1991.75,-326.9896725
639,2016.75,639,1365.856658,,1991.75,-340.8566582
640,2016.75,640,1379.723603,,1991.75,-354.7236025
641,2016.75,641,1393.594307,,1991.75,-368.5943073
642,2016.75,642,1407.463557,,1991.75,-382.4635572
643,2016.75,643,1421.330483,,1991.75,-396.3304834
644,2016.75,644,1435.200426,,1991.75,-410.2004258
645,2016.75,645,1449.068534,,1991.75,-424.068534
646,2016.75,646,1462.943022,,1991.75,-437.9430223
647,2016.75,647,1476.813585,,1991.75,-451.8135852
648,2016.75,648,1490.682606,,1991.75,-465.6826059
,,,,,-25,1025
,,,,,-25,1025
,,,,,-25,1025
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
,,,,,-25,
